Date  :Open  :High  :Low  :Close     Closing price adjusted for splits. :Adj Close     Adjusted closing price adjusted for splits and dividend and/or capital gain distributions. :Volume  
27 Sept 2023:42.60:43.73:42.06:42.94:42.94:2,696,800
26 Sept 2023:43.31:44.02:41.69:42.15:42.15:2,299,400
25 Sept 2023:44.45:45.54:43.64:43.84:43.84:1,742,000
22 Sept 2023:45.07:45.40:44.32:45.00:45.00:1,030,600
21 Sept 2023:46.48:46.59:44.84:44.85:44.85:1,984,300
20 Sept 2023:47.55:49.05:47.35:47.42:47.42:1,386,800
19 Sept 2023:47.81:48.00:46.72:47.72:47.72:1,527,400
18 Sept 2023:47.90:48.43:47.53:48.09:48.09:2,503,100
15 Sept 2023:49.44:49.51:47.83:48.80:48.80:7,152,700
14 Sept 2023:50.98:51.22:49.32:49.93:49.93:3,017,600
13 Sept 2023:50.15:51.83:50.10:50.98:50.98:2,862,700
12 Sept 2023:53.63:53.93:51.93:52.35:52.35:1,787,100
11 Sept 2023:52.74:53.48:51.59:52.73:52.73:2,166,600
8 Sept 2023:51.48:53.15:50.88:52.35:52.35:2,074,300
7 Sept 2023:48.89:52.58:48.60:51.94:51.94:3,096,100
6 Sept 2023:52.14:54.38:48.67:49.99:49.99:6,531,000
5 Sept 2023:49.60:50.23:48.57:49.74:49.74:4,660,400
1 Sept 2023:48.02:49.53:47.65:49.17:49.17:2,186,200
31 Aug 2023:46.55:47.70:46.38:47.37:47.37:1,241,000
30 Aug 2023:45.70:46.36:45.38:46.09:46.09:911,300
29 Aug 2023:45.10:46.65:44.75:45.99:45.99:1,046,700
28 Aug 2023:45.28:45.72:44.58:45.07:45.07:580,800
25 Aug 2023:43.87:45.33:43.58:45.19:45.19:771,300
24 Aug 2023:46.94:47.08:43.88:43.95:43.95:897,600
23 Aug 2023:45.16:46.64:44.48:46.41:46.41:1,000,400
22 Aug 2023:44.94:45.78:44.14:44.97:44.97:1,289,300
21 Aug 2023:44.57:45.19:43.67:44.21:44.21:914,700
18 Aug 2023:42.09:44.45:41.61:44.36:44.36:1,214,900
17 Aug 2023:45.36:45.36:42.67:43.01:43.01:1,306,800
16 Aug 2023:45.19:46.21:44.58:45.41:45.41:994,800
15 Aug 2023:45.77:45.77:44.69:45.21:45.21:1,103,400
14 Aug 2023:44.38:46.06:43.39:45.78:45.78:1,305,600
11 Aug 2023:42.83:44.18:42.66:43.97:43.97:1,078,500
10 Aug 2023:44.67:45.21:42.98:43.48:43.48:1,871,500
9 Aug 2023:45.38:45.60:44.01:44.49:44.49:992,900
8 Aug 2023:47.17:47.17:44.33:45.45:45.45:1,758,500
7 Aug 2023:47.19:47.74:45.96:47.40:47.40:1,173,200
4 Aug 2023:48.20:49.34:47.26:47.57:47.57:1,197,500
3 Aug 2023:45.69:47.18:45.60:47.05:47.05:1,104,000
2 Aug 2023:47.25:47.49:45.09:45.97:45.97:1,114,600
1 Aug 2023:48.83:49.00:47.78:48.50:48.50:841,100
31 July 2023:48.59:50.67:48.59:49.63:49.63:1,204,300
28 July 2023:48.08:49.32:47.34:47.98:47.98:980,900
27 July 2023:49.74:49.97:46.39:46.88:46.88:2,359,700
26 July 2023:48.13:49.10:47.30:48.43:48.43:845,500
25 July 2023:50.05:50.31:48.69:48.87:48.87:936,700
24 July 2023:50.18:50.64:48.53:49.28:49.28:894,300
21 July 2023:50.12:51.40:49.75:50.00:50.00:1,006,400
20 July 2023:51.49:52.22:49.60:49.71:49.71:1,687,800
19 July 2023:52.75:54.60:52.02:52.18:52.18:3,683,000
18 July 2023:53.60:54.53:52.62:53.96:53.96:1,682,000
17 July 2023:52.34:53.94:51.10:52.99:52.99:1,770,800
14 July 2023:54.07:54.34:51.89:52.09:52.09:1,887,900
13 July 2023:53.77:54.50:53.43:54.12:54.12:1,841,600
12 July 2023:52.17:53.65:51.23:52.90:52.90:3,039,700
11 July 2023:50.73:51.99:49.88:51.12:51.12:1,618,200
10 July 2023:48.57:50.92:48.25:50.35:50.35:1,603,400
7 July 2023:50.00:50.58:48.80:48.94:48.94:1,258,500
6 July 2023:49.56:50.16:48.44:49.74:49.74:1,328,700
5 July 2023:50.24:50.94:49.65:50.68:50.68:1,111,600
3 July 2023:51.30:51.69:50.34:50.75:50.75:586,000
30 June 2023:50.03:51.45:50.03:51.11:51.11:1,790,900
29 June 2023:49.95:51.26:48.88:49.50:49.50:2,089,500
28 June 2023:48.08:50.62:48.05:49.72:49.72:2,060,800
27 June 2023:49.71:49.95:48.55:49.18:49.18:1,408,500
